time [UTC],Myer,Minimax,Peter's of Kensington,Victoria's Basement
2021-08-01,0.0,18.0,0.0,0.0
2021-09-01,0.0,16.75,0.0,0.0
2021-10-01,47.2,19.0,0.0,0.0
2021-11-01,74.5,36.25,0.0,2.0
2021-12-01,65.25,8.75,0.0,0.0
2022-01-01,2.4,5.4,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0
2022-05-01,25.8,0.0,0.0,0.0
2022-06-01,43.25,0.0,0.0,0.0
2022-07-01,64.8,0.0,0.0,0.6
2022-08-01,17.0,0.0,0.0,0.0
2022-09-01,12.75,0.0,0.0,0.0
2022-10-01,50.2,0.0,0.0,0.0
2022-11-01,58.0,0.0,0.0,0.0
2022-12-01,63.75,0.0,0.0,0.75
2023-01-01,44.0,0.0,0.0,0.0
2023-02-01,32.25,0.75,0.0,0.75
2023-03-01,3.5,0.0,0.0,0.0
2023-04-01,21.2,0.0,0.0,0.0
2023-05-01,57.25,0.0,0.0,0.0
2023-06-01,56.75,0.0,0.0,0.0
2023-07-01,44.2,0.0,0.0,0.0
2023-08-01,51.25,0.0,0.0,0.0
2023-09-01,63.5,0.0,0.0,0.0
2023-10-01,18.8,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0
2023-12-01,1.0,0.0,0.0,0.8
2024-01-01,0.0,0.0,0.0,0.0
2024-02-01,2.0,0.0,0.0,0.0
2024-03-01,0.0,9.8,0.0,0.0
2024-04-01,0.0,14.5,0.0,0.0
2024-05-01,0.75,8.25,0.0,0.0
2024-06-01,0.0,17.8,0.6,1.0
2024-07-01,0.0,15.25,0.0,0.0
2024-08-01,0.0,15.0,0.0,0.0
2024-09-01,0.0,15.4,0.0,0.0
2024-10-01,0.75,10.5,0.0,0.0
2024-11-01,0.0,26.0,0.0,0.0
2024-12-01,0.0,37.0,2.8,0.0
2025-01-01,0.0,13.5,3.0,0.0
2025-02-01,0.0,13.75,0.0,0.0
2025-03-01,0.0,14.6,0.0,0.0
