time [UTC],R.M.Williams,Helly Hansen,Paddy Pallin,Rodd & Gunn,Superdry
2021-08-01,4.0,1.0,0.0,9.0,0.0
2021-09-01,15.25,2.0,0.0,5.5,0.0
2021-10-01,5.8,1.4,0.0,6.4,0.0
2021-11-01,3.5,1.5,0.0,12.25,0.0
2021-12-01,1.5,3.0,0.0,12.25,0.0
2022-01-01,3.4,1.4,0.0,6.4,0.0
2022-02-01,21.5,1.25,0.0,6.0,0.0
2022-03-01,54.75,1.0,0.0,6.75,0.0
2022-04-01,67.25,1.75,0.0,9.75,0.0
2022-05-01,85.6,1.4,0.0,12.0,0.0
2022-06-01,81.25,2.75,0.0,13.0,0.0
2022-07-01,76.8,1.6,0.0,12.6,0.0
2022-08-01,71.75,1.0,0.0,12.0,0.0
2022-09-01,36.75,1.5,0.0,10.0,0.0
2022-10-01,64.8,1.4,0.0,9.4,0.0
2022-11-01,71.0,0.75,0.0,15.5,0.0
2022-12-01,45.0,0.0,0.0,15.75,0.0
2023-01-01,24.2,0.0,0.0,8.4,0.0
2023-02-01,23.25,0.0,0.0,7.75,0.0
2023-03-01,15.0,0.0,0.0,9.0,0.0
2023-04-01,18.8,0.0,0.0,12.2,0.0
2023-05-01,32.5,0.0,0.0,13.0,0.0
2023-06-01,29.5,0.0,0.25,12.75,0.0
2023-07-01,40.6,0.0,0.0,12.0,0.0
2023-08-01,69.25,0.0,0.0,11.75,0.0
2023-09-01,48.75,0.0,0.0,9.5,0.0
2023-10-01,24.8,0.0,0.0,9.0,0.0
2023-11-01,36.75,0.0,0.0,17.5,0.0
2023-12-01,41.6,2.0,0.0,16.4,0.0
2024-01-01,20.0,2.0,0.0,8.5,0.0
2024-02-01,20.5,2.25,0.0,8.75,0.0
2024-03-01,27.2,2.0,0.0,9.8,0.0
2024-04-01,33.75,2.75,0.25,13.5,0.0
2024-05-01,33.5,0.5,0.0,12.75,0.0
2024-06-01,33.0,0.6,0.2,13.6,0.0
2024-07-01,32.25,0.25,0.0,14.75,0.0
2024-08-01,35.5,0.0,0.0,13.5,0.0
2024-09-01,29.2,1.8,0.0,11.4,0.0
2024-10-01,25.25,1.5,0.0,10.75,0.0
2024-11-01,42.25,1.75,0.0,19.25,0.0
2024-12-01,47.4,1.6,0.0,20.2,0.0
2025-01-01,25.0,0.5,0.0,11.75,0.25
2025-02-01,25.75,0.25,0.0,10.75,0.0
2025-03-01,25.8,1.4,0.0,10.8,0.0
