time [UTC],Snooze,Ecosa,Emma,Eva,Ikea
2021-08-01,0.0,0.0,1.0,0.0,57.0
2021-09-01,0.0,0.5,1.0,0.0,59.25
2021-10-01,0.0,1.0,1.0,0.0,60.0
2021-11-01,0.0,1.0,1.25,0.0,60.75
2021-12-01,0.0,1.0,1.25,0.0,72.75
2022-01-01,0.0,1.6,1.4,0.0,75.6
2022-02-01,0.0,1.0,1.0,0.0,69.25
2022-03-01,0.0,1.0,1.5,0.0,73.0
2022-04-01,0.0,1.75,1.25,0.0,92.75
2022-05-01,0.0,1.0,1.6,0.0,79.8
2022-06-01,0.0,2.0,2.25,0.0,85.5
2022-07-01,0.0,1.8,2.0,0.0,75.0
2022-08-01,0.0,2.0,1.75,0.0,70.25
2022-09-01,0.0,2.0,2.0,0.0,57.5
2022-10-01,0.0,1.2,2.0,0.0,50.0
2022-11-01,0.0,1.75,2.75,0.0,48.25
2022-12-01,0.0,1.25,2.5,0.0,52.5
2023-01-01,0.0,1.2,2.2,0.0,52.4
2023-02-01,0.0,1.0,1.75,0.0,42.5
2023-03-01,0.0,1.5,2.0,0.0,31.75
2023-04-01,0.0,1.0,1.8,0.0,35.6
2023-05-01,0.0,1.25,1.75,0.0,31.5
2023-06-01,0.0,1.75,2.5,0.0,27.5
2023-07-01,0.0,1.0,2.0,0.0,35.0
2023-08-01,0.0,1.0,2.0,0.0,17.25
2023-09-01,0.0,1.0,2.0,0.0,16.25
2023-10-01,0.0,1.4,1.8,0.0,17.0
2023-11-01,0.0,1.75,3.0,0.0,21.25
2023-12-01,0.0,1.4,2.6,0.0,43.0
2024-01-01,0.0,1.5,1.75,0.0,39.25
2024-02-01,0.0,1.25,1.75,0.0,35.75
2024-03-01,0.0,1.8,1.4,0.0,29.4
2024-04-01,0.0,2.0,1.25,0.0,20.5
2024-05-01,0.0,2.0,1.0,0.0,17.25
2024-06-01,0.0,2.4,1.8,0.0,21.8
2024-07-01,0.0,2.0,1.0,0.0,36.75
2024-08-01,0.0,2.0,1.0,0.0,29.25
2024-09-01,0.0,2.0,1.0,0.0,32.2
2024-10-01,0.0,2.25,1.0,0.0,24.75
2024-11-01,0.0,3.0,2.0,0.0,28.75
2024-12-01,0.0,2.6,1.4,0.0,42.2
2025-01-01,0.0,2.5,1.0,0.0,32.25
2025-02-01,0.0,2.25,1.0,0.0,20.25
2025-03-01,0.0,2.2,1.0,0.0,27.8
