category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Audio Content,Spotify,2021-08-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2021-09-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2021-10-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2021-11-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2021-12-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-01-01,0.2,0.2,0,1.0,
Audio Content,Spotify,2022-02-01,0.25,0.25,0,1.0,
Audio Content,Spotify,2022-03-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-04-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-05-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-06-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-07-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-08-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-09-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-10-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-11-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2022-12-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2023-01-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2023-02-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2023-03-01,0.0,0.0,0,1.0,
Audio Content,Spotify,2023-04-01,4.0,4.0,0,1.0,
Audio Content,Spotify,2023-05-01,2.25,2.25,0,1.0,
Audio Content,Spotify,2023-06-01,2.25,2.25,0,1.0,
Audio Content,Spotify,2023-07-01,2.4,2.4,0,1.0,
Audio Content,Spotify,2023-08-01,3.5,3.5,0,1.0,
Audio Content,Spotify,2023-09-01,3.5,3.5,0,1.0,
Audio Content,Spotify,2023-10-01,3.8,3.8,0,1.0,
Audio Content,Spotify,2023-11-01,2.25,2.25,0,1.0,
Audio Content,Spotify,2023-12-01,13.6,13.6,0,1.0,
Audio Content,Spotify,2024-01-01,16.0,16.0,0,1.0,
Audio Content,Spotify,2024-02-01,21.0,21.0,0,1.0,
Audio Content,Spotify,2024-03-01,17.6,17.6,0,1.0,
Audio Content,Spotify,2024-04-01,4.5,4.5,0,1.0,
Audio Content,Spotify,2024-05-01,5.0,5.0,0,1.0,
Audio Content,Spotify,2024-06-01,13.6,13.6,0,1.0,
Audio Content,Spotify,2024-07-01,15.25,15.25,0,1.0,
Audio Content,Spotify,2024-08-01,6.25,6.25,0,1.0,
Audio Content,Spotify,2024-09-01,1.8,1.8,0,1.0,
Audio Content,Spotify,2024-10-01,27.0,27.0,0,1.0,
Audio Content,Spotify,2024-11-01,41.0,41.0,0,1.0,
Audio Content,Spotify,2024-12-01,50.8,50.8,0,1.0,
Audio Content,Spotify,2025-01-01,35.0,35.0,0,1.0,
Audio Content,Spotify,2025-02-01,41.0,41.0,0,1.0,
Audio Content,Spotify,2025-03-01,41.0,41.0,0,1.0,
Audio Content,ABC Listen,2021-08-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2021-09-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2021-10-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2021-11-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2021-12-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-01-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-02-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-03-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-04-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-05-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-06-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-07-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-08-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-09-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-10-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-11-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2022-12-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-01-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-02-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-03-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-04-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-05-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-06-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-07-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-08-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-09-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-10-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-11-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2023-12-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-01-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-02-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-03-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-04-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-05-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-06-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-07-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-08-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-09-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-10-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-11-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2024-12-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2025-01-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2025-02-01,0.0,0.0,0,1.0,
Audio Content,ABC Listen,2025-03-01,0.0,0.0,0,1.0,
Audio Content,Apple Music,2021-08-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2021-09-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2021-10-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2021-11-01,2.75,2.75,0,1.0,
Audio Content,Apple Music,2021-12-01,2.5,2.5,0,1.0,
Audio Content,Apple Music,2022-01-01,2.4,2.4,0,1.0,
Audio Content,Apple Music,2022-02-01,2.5,2.5,0,1.0,
Audio Content,Apple Music,2022-03-01,2.25,2.25,0,1.0,
Audio Content,Apple Music,2022-04-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2022-05-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2022-06-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2022-07-01,2.0,2.0,0,1.0,
Audio Content,Apple Music,2022-08-01,2.25,2.25,0,1.0,
Audio Content,Apple Music,2022-09-01,2.25,2.25,0,1.0,
Audio Content,Apple Music,2022-10-01,3.0,3.0,0,1.0,
Audio Content,Apple Music,2022-11-01,3.75,3.75,0,1.0,
Audio Content,Apple Music,2022-12-01,3.25,3.25,0,1.0,
Audio Content,Apple Music,2023-01-01,2.2,2.2,0,1.0,
Audio Content,Apple Music,2023-02-01,3.0,3.0,0,1.0,
Audio Content,Apple Music,2023-03-01,2.75,2.75,0,1.0,
Audio Content,Apple Music,2023-04-01,2.4,2.4,0,1.0,
Audio Content,Apple Music,2023-05-01,3.0,3.0,0,1.0,
Audio Content,Apple Music,2023-06-01,2.75,2.75,0,1.0,
