time [UTC],Ikea,Brosa,Castlery,Ecosa,Fantastic Furniture
2021-08-01,57.0,2.0,0.0,0.0,0.0
2021-09-01,59.25,2.5,0.0,0.5,0.0
2021-10-01,60.0,2.4,0.0,1.0,0.0
2021-11-01,60.75,2.75,0.0,1.0,0.0
2021-12-01,72.75,2.5,0.0,1.0,0.0
2022-01-01,75.6,2.4,0.0,1.6,0.0
2022-02-01,69.25,2.75,0.0,1.0,0.0
2022-03-01,73.0,2.25,0.0,1.0,0.0
2022-04-01,92.75,2.25,0.0,1.75,0.0
2022-05-01,79.8,2.2,0.0,1.0,0.0
2022-06-01,85.5,3.0,0.0,2.0,0.0
2022-07-01,75.0,2.0,0.0,1.8,0.0
2022-08-01,70.25,2.0,0.25,2.0,0.0
2022-09-01,57.5,2.0,0.0,2.0,0.0
2022-10-01,50.0,2.0,0.0,1.2,0.0
2022-11-01,48.25,2.0,0.25,1.75,0.0
2022-12-01,52.5,3.25,0.0,1.25,0.0
2023-01-01,52.4,2.0,0.0,1.2,0.0
2023-02-01,42.5,1.0,0.0,1.0,0.0
2023-03-01,31.75,1.0,0.0,1.5,0.0
2023-04-01,35.6,1.0,0.0,1.0,0.0
2023-05-01,31.5,1.0,0.0,1.25,0.0
2023-06-01,27.5,1.0,0.0,1.75,0.0
2023-07-01,35.0,1.0,0.0,1.0,0.0
2023-08-01,17.25,1.0,0.0,1.0,0.0
2023-09-01,16.25,1.0,0.0,1.0,0.0
2023-10-01,17.0,1.0,0.0,1.4,0.0
2023-11-01,21.25,0.75,0.0,1.75,0.0
2023-12-01,43.0,0.8,0.0,1.4,0.0
2024-01-01,39.25,0.75,0.0,1.5,0.0
2024-02-01,35.75,0.25,0.0,1.25,0.0
2024-03-01,29.4,0.4,0.0,1.8,0.0
2024-04-01,20.5,0.5,0.0,2.0,0.0
2024-05-01,17.25,0.25,0.0,2.0,0.0
2024-06-01,21.8,1.0,0.0,2.4,0.0
2024-07-01,36.75,0.0,0.0,2.0,0.0
2024-08-01,29.25,0.0,0.0,2.0,0.0
2024-09-01,32.2,0.2,0.0,2.0,0.0
2024-10-01,24.75,0.0,0.0,2.25,0.0
2024-11-01,28.75,0.25,0.0,3.0,0.0
2024-12-01,42.2,0.0,0.0,2.6,0.0
2025-01-01,32.25,0.0,0.0,2.5,0.0
2025-02-01,20.25,0.0,0.0,2.25,0.0
2025-03-01,27.8,0.0,0.0,2.2,0.0
